10yard	10ヤードファイト	てんやーどふぁいと
cgangpzl	コズモギャング・ザ・パズル	こずもぎゃんぐざぱずる
champwr	チャンピオンレスラー	ちゃんぴおんれすらー
chasehq	チェイスH.Q (海外版)	ちぇいすえいちきゅー
chasehqj	チェイスH.Q (日本版)	ちぇいすえいちきゅー
chelnov	チェルノブ - 戦う人間発電所	ちぇるのぶ
chimerab	キメラビースト	きめらびーすと
chinagat	西遊降魔録 - 流棒妖技ノ章	さいゆうごうまろく
chinatwn	チャイナタウン	ちゃいなたうん
choko	長江	ちょうこう
choplift	チョップリフター	ちょっぷりふたー
chopper	航空騎兵物語 / Chopper I	こうくうきへいものがたり
chqflag	チェッカーフラグ	ちぇっかーふらぐ
circusc	サーカスチャーリー	さーかすちゃーりー
cischeat	シスコヒート	しすこひーと
citybomb	シティーボンバー	してぃーぼんばー
citycon	シティコネクション	してぃこねくしょｎ
ckongs	クレイジーコング (スクランブル基板)	くれいじーこんぐ
clas1812	クラスオブ1812 (ピンボール)	くらすおぶえいてぃーんとぅえるぶ
cleopatr	クレオパトラフォーチュン	くれおぱとらふぉーちゅん
cltchitr	クラッチヒッター	くらっちひったー
cninja	戦え原始人 ジョー＆マック	たたかえげんしじん
cobracom	コブラコマンドー	こぶらこまんどー
combatsc	コンバットスクール	こんばっとすくーる
commando	戦場の狼	せんじょうのおおかみ
congo_21	コンゴ (ピンボール)	こんご
contcirc	コンチネンタルサーカス	こんちねんたるさーかす
contra	魂斗羅	こんとら
corv_21	コルベット (ピンボール)	こるべっと
cosmccop	ギャロップ / Cosmic Cop	ぎゃろっぷ
cosmogng	コズモギャング・ザ・ビデオ (海外版)	こずもぎゃんぐざびでお_w
cosmogngj	コズモギャング・ザ・ビデオ (日本版)	こずもぎゃんぐざびでお_j
cotton	コットン (海外版)	こっとん_w
cottonj	コットン (日本版)	こっとん_j
countryc	カントリークラブ	かんとりーくらぶ
cp_16	チャンピオンシップパブ (ピンボール)	ちゃんぴおんしっぷぱぶ
crater	Crater Raider	くれいたーらいだー
crimec	クライムシティ	くらいむしてぃ
crimfght	クライムファイターズ	くらいむふぁいたーず
crshrace	爆裂クラッシュレース	ばくれつくらっしゅれーす
crsword	クロスソード	くろすそーど
crusnusa	クルージンUSA	くるーじんゆーえすえー
crusnwld	クルージンワールド	くるーじんわーるど
csclub	カプコンスポーツクラブ	かぷこんすぽーつくらぶ
csprint	チャンピオンシップスプリント	ちゃんぴおんしっぷすぷりんと
ctomaday	キャプテントマディー	きゃぷてんとまでぃ
ctribe	ザ・コンバットライブス	ざこんばっとらいぶす
cueball	キューボールウィザード (ピンボール)	きゅーぼーるうぃざーど
cuebrickj	キューブリック	きゅーぶりっく
cupsoc	セイブカップサッカー	せいぶかっぷさっかー
cv_14	サーカスボルテール (ピンボール)	さーかすぼるてーる
cworld	アドベンチャークイズ カプコンワールド	あどべんちゃーくいずかぷこんわーるど1
cworld2j	アドベンチャークイズ カプコンワールド2	あどべんちゃーくいずかぷこんわーるど2
cyberbal2p	サイバーボール2072	さいばーぼーる2072
cyberlip	サイバーリップ	さいばーりっぷ
cybots	サイバーボッツ - フルメタルマッドネス	さいばーぼっつ
cybrcomm	サイバーコマンド	さいばーこまんど
cybrcycc	サイバーサイクルズ	さいばーさいくるず
cybsled	サイバースレッド	さいばーすれっど
cycln_l5	サイクロン (L-5) (ピンボール)	さいくろんp
cyclwarr	サイクルウォリアーズ	さいくるうぉりあーず
cyvern	サイヴァーン	さいばーん
daiskiss	だい好キッス	だいすきっす
dakkochn	脱子ちゃん雀荘	だっこちゃんはうす
danceyes	ダンシングアイ	だんしんぐあい
dangar	UFOロボ ダンガー	ゆーふぉーろぼだんがー
dangcurv	デンジャラスカーブス	でんじゃらすかーぶす
dangseed	デンジャラスシード	でんじゃらすしーど
darius	ダライアス	だらいあす1
darius2	ダライアスII	だらいあす2
dariusg	ダライアス外伝 - シルバーホーク	だらいあす3
darkedge	ダークエッジ	だーくえっじ
darkmist	ダークミスト	だーくみすと
darkplnt	Dark Planet	だーくぷらねっと
darkseal	ダークシール	だーくしーる1
darkseal2	ダークシールII	だーくしーる2
daytona	デイトナUSA (日本版)	でいとなゆーえすえー1_j
daytona2	デイトナUSA2 - BATTLE ON THE EDGE	でいとなゆーえすえー2
daytonau	デイトナUSA (US版)	でいとなゆーえすえー1_w
dbreedm72	ドラゴンブリード (M72版)	どらごんぶりーど72
dbz	ドラゴンボールZ	どらごんぼーるぜっと1
dbz2	ドラゴンボールZ2 - スーパーバトル	どらごんぼーるぜっと2
dbzvrvs	ドラゴンボールZ V.R.V.S	どらごんぼーるぜっとぶいあーるぶいえす
dd_l2	Dr.デュード (ピンボール)	どくたーでゅーど
ddcrew	D.D.クルー	でぃーでぃーくるー
ddragon	ダブルドラゴン	だぶるどらごん1
ddragon2	ダブルドラゴンII - ザ・リベンジ	だぶるどらごん2
ddragon3	ダブルドラゴン3 - ザ・ロゼッタストーン	だぶるどらごん3
ddribble	ダブルドリブル	だぶるどりぶる
ddsom	ダンジョンズ＆ドラゴンズ - シャドーオーバーミスタラ	だんじょんずあんどどらごんずしゃどーおーばーみすたら
ddtod	ダンジョンズ＆ドラゴンズ - タワーオブドゥーム	だんじょんずあんどどらごんずたわーおぶどぅーむ
ddux	ダイナマイトダックス	だいなまいとだっくす
deadconx	デッドコネクション	でっどこねくしょん
deadweap	デッドリーウェポン (ピンボール)	でっどりーうぇぽん
demonwld	ホラーストーリー	ほらーすとーりー
dendego	電車でGO!	でんしゃでごー1
dendego2	電車でGO!2 - 高速編	でんしゃでごー2
denjinmk	電神魔傀	でんじんまかい
deroon	でろ～んでろでろ	でろーんでろでろ
desertbr	デザートブレーカー	でざーとぶれーかー
desertwr	湾岸戦争 / Desert War	わんがんせんそう
devilfsh	Devil Fish	でびるふぃっしゅ
devilw	魔獣の王国 / Devil World	まじゅうのおうこく
devstors	餓流禍 / Devastators	がるか
dh_lx2	ダーティーハリー (ピンボール)	だーてぃーはりー
dietgo	ダイエットゴーゴー	だいえっとごーごー
digdug	ディグダグ	でぃぐだぐ1
digdug2	ディグダグII	でぃぐだぐ2
diggerma	ディッガーマン (プロトタイプ)	でぃっがーまん
dimahoo	グレート魔法大作戦 / Dimahoo	ぐれーとまほうだいさくせん
diner_l4	ダイナー (L-4) (ピンボール)	だいなー
dino	キャディラックス - 恐竜新世紀	きゃでぃらっくす
dinorex	ダイノレックス	だいのれっくす
dirtdvls	ダートデビルズ	だーとでびるず
dirtfoxj	ダートフォックス	だーとふぉっくす
djboy	DJボーイ (海外版)	でぃーじぇいぼーい_w
djboyj	DJボーイ (日本版)	でぃーじぇいぼーい_j
dkgensan	大工の源さん (日本版)	だいくのげんさん
dleague	ダイナマイトリーグ	だいなまいとりーぐ
dm_h5	デモリッションマン (H-5) (ピンボール)	でもりっしょんまんp
dm_lx4	デモリションマン (ピンボール)	でもりしょんまん
doa	デッド・オア・アライブ	でっどおああらいぶ
docastle	ミスターDo's キャッスル	みすたーどぅーきゃっする
dogosoke	怒号層圏 (日本版)	どごうそうけん
dokaben	ドカベン	どかべん
domino	Domino Man	どみのまん
dondokod	ドンドコドン	どんどこどん
dorunrun	スーパーピエロ / Do! Run Run	すーぱーぴえろ
dotron	ディスクスオブトロン	でぃすくすおぶとろん
doubledr	ダブルドラゴン (Neo Geo)	だぶるどらごんねおじおばん
douni	ミスターDo! VS ユニコーン	みすたーどぅーばーさすゆにこーん
dowild	ミスターDo's ワイルドライド	みすたーどぅーわいるどらいど
drac_l1	ブラムストッカーズ ドラキュラ (L-1) (ピンボール)	ぶらむすとっかーずどらきゅら
dragngun	ドラゴンガン	どらごんがん
dragoona	ドラグーンマイト	どらぐーんまいと
drgnbstr	ドラゴンバスター	どらごんばすたー
driftout	ドリフトアウト	どりふとあうと
drivedge	ドライバーズエッジ	どらいばーずえっじ
driveyes	ドライバーズアイ	どらいばーずあい
dsaber	ドラゴンセイバー	どらごんせいばー
dspirit	ドラゴンスピリット	どらごんすぴりっと
dstlk	ヴァンパイア - ザ・ナイトウォリアーズ	ばんぱいあざないとうぉーりあーず
dumpmtmt	ダンプ松本	だんぷまつもと
dungeonm	ライトブリンガー	らいとぶりんがー
dunkmnia	ダンクマニア	だんくまにあ
dunkshot	ダンクショット	だんくしょっと
dyger	Dyger	だいがー
dynabb	ダイナマイトベースボール	だいなまいとべーすぼーる
dynablst	ボンバーマン / Dynablaster	ぼんばーまん
dynamcop	ダイナマイト刑事2 -カリブの海賊編- / Dynamite Cop	だいなまいとでか2
dynduke	ダイナマイトデューク	だいなまいとでゅーく
dynwar	天地を喰らう / Dynasty Wars (海外版)	てんちをくらう1_w
dynwarj	天地を喰らう (日本版)	てんちをくらう1_j
earthjkr	アースジョーカー	あーすじょーかー
eatpm_l4	エルビラ・アンド・パーティモンスターズ (LA-4) (ピンボール)	えるびらp
eca	救急車 - エマージェンシーコールアンビュランス	きゅうきゅうしゃ
ecofghtr	アルティミットエコロジー / Eco Fighters	あるてぃみっとえころじー
edf	アースディフェンスフォース	あーすでぃふぇんすふぉーす
edrandy	エドワードランディ	えどわーどらんでぃ
ehrgeiz	エアガイツ	えあがいつ
eightman	8マン	えいとまん
elevator	エレベーターアクション	えれべーたーあくしょん
elvactr	エレベーターアクションリターンズ	えれべーたーあくしょんりたーんず
emeralda	エメラルディア	えめらるでぃあ
endurob2	エンデューロレーサー (海賊版 2, YM2203)	えんでゅーろれーさー 3
endurobl	エンデューロレーサー (海賊版 1, YM2203)	えんでゅーろれーさー 2
enduror	エンデューロレーサー	えんでゅーろれーさー 1
enforce	エンフォース	えんふぉーす
eprom	ロボットモンスターズ	ろぼっともんすたーず
equites	エクイテス	えくいてす
esb	スターウォーズ - 帝国の逆襲 / The Empire Strikes Back	すたーうぉーずていこくのぎゃくしゅう
esckids	エスケープキッズ	えすけーぷきっず
esha_la3	アースシェイカー (LA-3) (ピンボール)	あーすしぇいかーp
esprade	エスプレイド	えすぷれいど
eswat	サイバーポリス E-スワット	さいばーぽりすいーすわっと
eto	古今東西干支物語	ここんとうざいえとものがたり
exctleag	エキサイトリーグ	えきさいとりーぐ
exedexes	エグゼドエグゼス	えぐぜどえぐぜす
exterm	Exterminator	えくすたーみねーたー
extrmatn	エクスターミネーション	えくすたーみねーしょｎ
exvania	エクスバニア	えくすばにあ
exzisus	イグジーザス	いぐじーざす
f14_l1	F-14 トムキャット (L-1) (ピンボール)	えふじゅうよんp
f1dream	F-1ドリーム	えふわんどりーむ
f1en	F-1エキゾーストノート	えふわんえきぞーすとのーと
f1gp	F-1グランプリ	えふわんぐらんぷり1
f1gp2	F-1グランプリ Part II	えふわんぐらんぷり2
f1gpstar	グランプリスター	ぐらんぷりすたー
f1lap	F-1スーパーラップ	えふわんすーぱーらっぷ
f1superb	F-1スーパーバトル	えふわんすーぱーばとる
faceoff	フェイスオフ	ふぇいすおふ
fantzone1	ファンタジーゾーン (日本版)	ふぁんたじーぞーん_j
fantzone	ファンタジーゾーン (US版)	ふぁんたじーぞーん_u
fatfursp	餓狼伝説スペシャル / Fatal Fury Special	がろうでんせつ2.5
fatfury1	餓狼伝説 - 宿命の闘い / Fatal Fury	がろうでんせつ1
fatfury2	餓狼伝説2 - 新たなる闘い / Fatal Fury 2	がろうでんせつ2
fatfury3	餓狼伝説3 - 遙かなる闘い / Fatal Fury 3	がろうでんせつ3
fbfrenzy	フットボールフレンジー	ふっとぼーるふれんじー
fcombat	フィールドコンバット	ふぃーるどこんばっと
feversos	弾銃フィーバロン / Fever SOS	だんがんふぃーばろん
ffight	ファイナルファイト	ふぁいなるふぁいと
fghtatck	F/A＜ファイターアンドアタッカー＞	ふぁいたーあんどあたっかー
fghthist	ファイターズヒストリー	ふぁいたーずひすとりー
fgtlayer	ファイティングレイヤー	ふぁいてぃんぐれいやー
fhawk	ファイティングホーク	ふぁいてぃんぐほーく
fieldday	ザ・運動会 / Field Day	ざうんどうかい
fightfev	ファイトフィーバー	ふぁいとふぃーばー
finalap2	ファイナルラップ2	ふぁいなるらっぷ2
finalap3	ファイナルラップ3	ふぁいなるらっぷ3
finalapr	ファイナルラップR	ふぁいなるらっぷ4
finalb	ファイナルブロー	ふぁいなるぶろー
finallap	ファイナルラップ	ふぁいなるらっぷ1
finehour	ファイネストアワー	ふぁいねすとあわー
finfurl2	ファイナルハロン2	ふぁいなるはろん2
fire_l3	ファイア！ (L-3) (ピンボール)	ふぁいあp
firebarr	ファイアーバレル	ふぁいあーばれる
fitegolf	ファイティングゴルフ (海外版?)	ふぁいてぃんぐごるふ
flicky	フリッキー	ふりっきー
flipshot	バトルフリップショット	ばとるふりっぷしょっと
flower	フラワー	ふらわー
flstory	フェアリーランドストーリー	ふぇありーらんどすとーりー
footchmp	ハットトリックヒーロー	はっととりっくひーろー
forgottn	ロストワールド / Forgotten World (海外版)	ろすとわーるど_w
fourtrax	フォートラックス	ふぉーとらっくす
fpoint	フラッシュポイント	ふらっしゅぽいんと
frankst	メリー・シェリーズ・フランケンシュタイン (ピンボール)	めりーしぇりーずふらんけんしゅたいん
freddy	フレディー: ア・ナイトメア・オン・エルム・ストリート (ピンボール)	ふれでぃー
frogger	フロッガー	ふろっがー
ngfrog	Frog Feast	ふろっぐふぃーすと
fromanc2	対戦アイドル麻雀 ファイナルロマンス2	たいせんあいどるまーじゃんふぁいなるろまんす2
fromanc4	対戦麻雀 ファイナルロマンス4	たいせんまーじゃんふぁいなるろまんす4
fromancr	対戦麻雀 ファイナルロマンスR	たいせんまーじゃんふぁいなるろまんすR
frontlin	フロントライン	ふろんとらいん
fround	ハードパンチャー - 血まみれの栄光 / Final Round	はーどぱんちゃー
fs_lx5	フリントストーン (ピンボール)	ふりんとすとーん
fshark	飛翔鮫 / Sky Shark	ひしょうざめ
fstarfrc	ファイナルスターフォース	ふぁいなるすたーふぉーす
ft_l5	フィッシュテイルズ (L-5) (ピンボール)	ふぃっしゅているずp
funkyjet	ファンキージェット	ふぁんきーじぇっと
fvipers	ファイティングバイパーズ	ふぁいてぃんぐばいぱーず
fvipers2	ファイティングバイパーズ2	ふぁいてぃんぐばいぱーず2
g_0tol	Zero Tolerance (メガドライブ)	ぜろとれらんす_m
g_2020	2020年スーパーベースボール (メガドライブ)	にせんにじゅうねんすーぱーべーすぼーる_m
g_2040	Phantom 2040 (メガドライブ)	ふぁんとむ2040_m
g_abea	獣王記 / Altered Beast (メガドライブ)	じゅうおうき_m
